,SMILES,NAME,FILTER,MW,LogP,HBD,HBA,TPSA
2533,Cc1c(nc(s1)N/N=C/c2ccccc2O)O,mol2533,OK,249.29500000000004,2.30872,3,6,77.74000000000001
2534,CC(=O)c1cccc(c1[N+](=O)[O-])F,mol2534,OK,183.13799999999995,1.9364999999999999,0,3,60.209999999999994
2535,Cc1cc(nc(n1)N/N=C(/C)\c2cc(oc2C)C)O,mol2535,Filter39_imine > 0,260.29699999999997,2.536560000000001,2,6,83.54
2536,c1ccc(cc1)c2cc(c(c(c2)Br)O)N=Nc3ccccc3,mol2536,Filter5_azo > 0,353.219,6.237100000000004,1,3,44.95
2537,COc1ccc(c(c1)[C@@H]2CCN2)Br,mol2537,Filter9_metal > 0,242.11599999999996,2.4920999999999998,1,2,21.259999999999998
2538,C1CNCC=C1OS(=O)(=O)C(F)(F)F,mol2538,OK,231.19499999999994,0.7298,1,4,55.4
2539,CC(=O)N1CCCCC12CCNCC2,mol2539,OK,196.29399999999998,1.1409999999999998,1,2,32.34
2540,C1C[N@@](C[C@H]2[C@@H]1C[C@H](O2)C(=O)N3CCOCC3)C4CCOCC4,mol2540,OK,324.4210000000001,0.5036000000000012,0,5,51.24000000000001
2541,Cc1c(n2cc(ccc2n1)I)/C=N/Nc3ccc4ccccc4c3,mol2541,Filter9_metal > 0,426.2610000000001,4.846520000000003,1,4,41.69
2542,c1c(c(cnc1C(F)(F)F)Cl)C(=O)O,mol2542,OK,225.553,2.452000000000001,1,2,50.19
2543,CN1C[C@]2(CC1=O)CNCCN(C2)C(=O)N(C)C,mol2543,OK,254.33399999999995,-0.5782999999999978,1,3,55.89000000000001
2544,C/C(=N\Nc1ccc(c(c1)F)F)/C(=O)O,mol2544,Filter39_imine > 0,214.17099999999996,1.8372,2,3,61.69
2545,c1c(cc(c(c1O)[C@@H]2CCN2)Cl)Cl,mol2545,OK,218.083,2.7334000000000005,2,2,32.26
2546,Cc1c(=O)[nH]c(nn1)N/N=C/c2c(cccc2F)F,mol2546,OK,265.223,1.19752,2,5,83.03
2547,C[N@@]1CCC[C@@]2(C1)CCN(C2)C(=O)Cc3ccccc3,mol2547,OK,272.392,2.1734,0,2,23.55
2548,c1c(c(c(nc1Cl)Cl)C(=O)O)N,mol2548,Filter94_2_halo_pyridine > 0,207.016,1.6688,2,3,76.21
2549,Cc1nnc(n1N)N/N=C/c2cccc(c2Cl)Cl,mol2549,OK,285.13800000000003,2.05312,2,6,81.12
2550,Cc1ccc2c(n1)N(CCN(C2)C(=O)Cc3cccs3)C,mol2550,OK,301.415,2.472620000000001,0,4,36.440000000000005
2551,c1cc2c(cc1F)c(c[nH]2)/C(=N\O)/N,mol2551,OK,193.18099999999998,1.4014999999999997,3,2,74.39999999999999
2552,c1ccc2c(c1)c(c([nH]2)O)/N=N\C(=O)c3cccs3,mol2552,Filter5_azo > 0,271.301,3.8591000000000006,2,4,77.81
2553,c1c(cnc(c1[N+](=O)[O-])C#N)F,mol2553,OK,167.099,1.0005799999999998,0,4,79.82
2554,C1CCC(CC1)[N@@]2CC[C@@]23CCCNC3,mol2554,OK,208.349,2.1470000000000002,1,2,15.27
2555,Cc1c(cco1)C(=O)N2[C@@H]3CC[C@H]2CN(C3)C(C)C,mol2555,OK,262.35299999999995,2.2852200000000007,0,3,36.690000000000005
2556,Cc1ccc(c(c1)C(=O)c2ccccc2)[N+](=O)[O-],mol2556,OK,241.246,3.134220000000002,0,3,60.209999999999994
2557,Cc1c(c2cccc(c2[nH]1)F)CC(=O)N3C[C@@H]4CC[C@H](C3)[N@](C4)C,mol2557,OK,329.4190000000001,2.7105200000000007,1,2,39.34
2558,c1ccc(cc1)N=Nc2ccc(c(c2F)F)O,mol2558,Filter5_azo > 0,234.20499999999998,4.085800000000002,1,3,44.95
2559,c1cc(ccc1C(=O)CN2CCNCC2)Br,mol2559,Filter9_metal > 0,283.1689999999999,1.5370000000000001,1,3,32.34
2560,Cc1c(c(n(n1)Cc2ccc(cc2Br)F)C)[N+](=O)[O-],mol2560,Filter9_metal > 0,328.1410000000001,3.3580400000000026,0,4,60.959999999999994
2561,CCc1ccc(o1)[C@H]2COCCN2,mol2561,OK,181.23499999999996,1.5029,1,3,34.4
2562,Cc1ccc(cc1)NC(=O)c2ccc(c(c2)F)C,mol2562,OK,243.28099999999998,3.694840000000003,1,1,29.1
2563,Cc1ccc(cc1C)C(=O)Nc2ccc(c(c2)I)C,mol2563,Filter9_metal > 0,365.214,4.468760000000003,1,1,29.1
2564,Cc1cc(=O)n(c2c1cccc2)CC(=O)N3CC[C@](C(C3)(C)C)(C)O,mol2564,Filter82_pyridinium > 0,342.4390000000001,2.3194200000000005,1,4,62.540000000000006
2565,Cc1c(cc(c(n1)O)C(=O)OC)Cl,mol2565,OK,201.60899999999998,1.5356199999999998,1,4,59.42
2566,c1ccc(c(c1)c2ccc(o2)/C=N/N3C(=O)c4ccccc4C3=O)Br,mol2566,Filter9_metal > 0,395.21200000000005,4.339200000000003,0,4,62.88
2567,c1cc(c(c(c1)F)/C=N/Nc2ccnc3c2ccc(c3)Cl)F,mol2567,OK,317.72599999999994,4.612400000000001,1,3,37.28
2568,COC(=O)c1c(cc(cn1)Cl)Cl,mol2568,OK,206.028,2.175,0,3,39.19
2569,c1ccc(cc1)/C=C/S(=O)(=O)c2ccc(cc2)Cl,mol2569,Filter88_ene_sulfone > 0,278.76,3.784600000000002,0,2,34.14
2570,c1cc(ccc1NC(=O)/C=C\2/C(=NC(=O)S2)O)O,mol2570,OK,264.262,2.0379,3,4,98.99000000000001
